Country,Category,emissions
Australia,1.  Energy,435570.94
Australia,1.AA  Fuel Combustion - Sectoral approach,381121.1
Australia,1.A.1  Energy Industries,213835.41
Australia,1.A.1.a  Public Electricity and Heat Production,183170.46
Australia,1.A.1.b  Petroleum Refining,3078.61
Australia,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,27586.35
Australia,1.A.1.c.i  Manufacture of Solid Fuels,719.6
Australia,1.A.1.c.ii  Oil and Gas Extraction,17934.86
Australia,1.A.1.c.iii  Other Energy Industries,8931.89
Australia,1.A.2  Manufacturing Industries and Construction,40719.95
Australia,1.A.2.a  Iron and Steel,1554.95
Australia,1.A.2.b  Non-Ferrous Metals,12304.22
Australia,1.A.2.c  Chemicals,6871.83
Australia,1.A.2.d  Pulp Paper and Print,1044.8
Australia,1.A.2.e  Food Processing Beverages and Tobacco,2705.51
Australia,1.A.2.f  Non-metallic Minerals,4950.82
Australia,1.A.2.g  Other,11287.82
Australia,1.A.2.g.i  Manufacturing of Machinery,117.25
Australia,1.A.2.g.iii  Mining (Excluding Fuels) and Quarrying,8931.83
Australia,1.A.2.g.v  Construction,1704.61
Australia,1.A.2.g.vi  Textile and Leather,387.24
Australia,1.A.2.g.viii  Other,146.89
Australia,1.A.3  Transport,100795.81
Australia,1.A.3.a  Domestic Aviation,9019.78
Australia,1.A.3.b  Road Transportation,85189.01
Australia,1.A.3.b.i  Cars,46896.1
Australia,1.A.3.b.ii  Light Duty Trucks,16723.62
Australia,1.A.3.b.iii  Heavy Duty Trucks and Buses,21259.38
Australia,1.A.3.b.iv  Motorcycles,309.92
Australia,1.A.3.c  Railways,4025.62
Australia,1.A.3.d  Domestic Navigation,1723.45
Australia,1.A.3.e  Other Transportation,837.94
Australia,1.A.3.e.i  Pipeline Transport,794.19
Australia,1.A.3.e.ii  Other,43.75
Australia,1.A.4  Other Sectors,24942.03
Australia,1.A.4.a  Commercial/Institutional,6507.76
Australia,1.A.4.b  Residential,10675.51
Australia,1.A.4.c  Agriculture/Forestry/Fishing,7758.76
Australia,1.A.5  Other (Not specified elsewhere),827.89
Australia,1.B  Fugitive Emissions from Fuels,54449.83
Australia,1.B.1  Solid Fuels,26673.47
Australia,1.B.1.a  Coal Mining and Handling,25770.62
Australia,1.B.1.a.ii  Surface Mines,6595.51
Australia,1.B.1.c  Other,902.84
Australia,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,27776.37
Australia,1.B.2.a  Oil,197.44
Australia,1.B.2.b  Natural Gas,10705.91
Australia,1.B.2.c  Venting and Flaring,16873.02
Australia,2.  Industrial Processes and Product Use,34197.45
Australia,2.A  Mineral Industry,5522.79
Australia,2.A.4  Other Process Uses of Carbonates,1555.31
Australia,2.B  Chemical Industry,5098.38
Australia,2.C  Metal Industry,10975.52
Australia,2.C.3  Aluminium Production,2487.98
Australia,2.C.7  Other,8487.54
Australia,2.D  Non-energy Products from Fuels and Solvent Use,171.25
Australia,2.F  Product Uses as Substitutes for ODS,11982.08
Australia,2.G  Other Product Manufacture and Use,228.53
Australia,2.H  Other,218.9
Australia,3.  Agriculture,75587.64
Australia,3.A  Enteric Fermentation,51668.3
Australia,3.B  Manure Management,7361.31
Australia,3.C  Rice Cultivation,254.03
Australia,3.D  Agricultural Soils,13303.83
Australia,3.F  Field Burning of Agricultural Residues,325.46
Australia,3.G  Liming,1318.39
Australia,4.  Land Use Land-Use Change and Forestry,-20600.83
Australia,4.A  Forest Land,-57210.61
Australia,4.B  Cropland,-1516.79
Australia,4.C  Grassland,36916.71
Australia,4.D  Wetlands,408.17
Australia,4.E  Settlements,971.86
