Country,emissions,level,name,parent,is_leaf,value
Australia,0.0,root,,,0,0.0
Canada,0.0,root,,,0,0.0
European Union (Convention),0.0,root,,,0,0.0
France,0.0,root,,,0,0.0
Germany,0.0,root,,,0,0.0
Italy,0.0,root,,,0,0.0
Japan,0.0,root,,,0,0.0
Russian Federation,0.0,root,,,0,0.0
Sweden,0.0,root,,,0,0.0
United States of America,0.0,root,,,0,0.0
Australia,435570.94,1,Energy,root,0,0.0
Australia,213835.41,1.A,Energy Industries,1,0,0.0
Australia,183170.46,1.A.1,Electricity and Heat Production,1.A,1,183170.46
Australia,3078.61,1.A.2,Petroleum Refining,1.A,1,3078.61
Australia,27586.35,1.A.3,Solid Fuels and Other Energy Industries,1.A,1,27586.35
Australia,40719.95,1.B,Manufacturing Industries and Construction,1,1,40719.95
Australia,100795.81,1.C,Transport,1,0,0.0
Australia,9019.78,1.C.1,Domestic Aviation,1.C,1,9019.78
Australia,85189.01,1.C.2,Road Transportation,1.C,1,85189.01
Australia,4025.62,1.C.3,Railways,1.C,1,4025.62
Australia,1723.45,1.C.4,Other transportation,1.C,1,1723.45
Australia,837.94,1.C.5,Other transportation,1.C,1,837.94
Australia,24942.03,1.D,Other sector,1,1,24942.03
Australia,827.89,1.E,Other,1,1,827.89
Australia,54449.83,1.F,Fugitive emissions,1,0,0.0
Australia,26673.47,1.F.1,"Coal, solid fuels",1.F,1,26673.47
Australia,27776.37,1.F.2,"Oil, gas and flaring",1.F,1,27776.37
Australia,34197.45,2,Industry,root,0,0.0
Australia,5522.79,2.A,Mineral,2,1,5522.79
Australia,5098.38,2.B,Chemical,2,1,5098.38
Australia,10975.52,2.C,Metal,2,1,10975.52
Australia,171.25,2.D,"Fuels, Solvent Use",2,1,171.25
Australia,11982.08,2.F,Substitutes for ODS,2,1,11982.08
Australia,228.53,2.G,Other industry,2,1,228.53
Australia,218.9,2.H,Other industry,2,1,218.9
Australia,75587.64,3,Agriculture,root,0,0.0
Australia,51668.3,3.A,Enteric Fermentation,3,1,51668.3
Australia,7361.31,3.B,Manure Management,3,1,7361.31
Australia,254.03,3.C,Rice Cultivation,3,1,254.03
Australia,13303.83,3.D,Agricultural Soils,3,1,13303.83
Australia,325.46,3.F,Field Burning,3,1,325.46
Australia,1318.39,3.G,Liming,3,1,1318.39
Australia,12691.19,4,Waste,root,0,0.0
Australia,9045.09,4.A,Solid Waste Disposal,4,1,9045.09
Australia,281.4,4.B,Biological Treatment,4,1,281.4
Australia,30.7,4.C,Incineration,4,1,30.7
Australia,3334.0,4.D,Wastewater Treatment and Discharge,4,1,3334.0
Canada,595995.22,1,Energy,root,0,0.0
Canada,192321.35,1.A,Energy Industries,1,0,0.0
Canada,69891.78,1.A.1,Electricity and Heat Production,1.A,1,69891.78
Canada,15950.38,1.A.2,Petroleum Refining,1.A,1,15950.38
Canada,106479.19,1.A.3,Solid Fuels and Other Energy Industries,1.A,1,106479.19
Canada,63925.09,1.B,Manufacturing Industries and Construction,1,1,63925.09
Canada,186713.48,1.C,Transport,1,0,0.0
Canada,7900.67,1.C.1,Domestic Aviation,1.C,1,7900.67
Canada,153694.04,1.C.2,Road Transportation,1.C,1,153694.04
Canada,7646.97,1.C.3,Railways,1.C,1,7646.97
Canada,3779.6,1.C.4,Other transportation,1.C,1,3779.6
Canada,13692.19,1.C.5,Other transportation,1.C,1,13692.19
Canada,97360.33,1.D,Other sector,1,1,97360.33
Canada,209.83,1.E,Other,1,1,209.83
Canada,55464.88,1.F,Fugitive emissions,1,0,0.0
Canada,1330.75,1.F.1,"Coal, solid fuels",1.F,1,1330.75
Canada,54134.13,1.F.2,"Oil, gas and flaring",1.F,1,54134.13
Canada,56319.99,2,Industry,root,0,0.0
Canada,8852.9,2.A,Mineral,2,1,8852.9
Canada,7658.32,2.B,Chemical,2,1,7658.32
Canada,14974.28,2.C,Metal,2,1,14974.28
Canada,11577.29,2.D,"Fuels, Solvent Use",2,1,11577.29
Canada,12547.64,2.F,Substitutes for ODS,2,1,12547.64
Canada,705.5,2.G,Other industry,2,1,705.5
Canada,59381.63,3,Agriculture,root,0,0.0
